+---------------+---------------+-----------+----------+
| pulocationid  | pickup_count  | avg_fare  | avg_tip  |
+---------------+---------------+-----------+----------+
| 237           | 2125560       | 12.81     | 2.58     |
| 161           | 2089754       | 16.06     | 3.03     |
| 132           | 2062453       | 56.04     | 8.69     |
| 236           | 1874807       | 13.25     | 2.53     |
| 186           | 1543165       | 16.11     | 3.05     |
| 230           | 1516403       | 17.94     | 3.17     |
| 162           | 1508176       | 15.35     | 3.04     |
| 142           | 1387612       | 13.86     | 2.63     |
| 170           | 1294387       | 14.95     | 2.66     |
| 234           | 1293642       | 14.21     | 2.53     |
+---------------+---------------+-----------+----------+
