+---------------------+-------------+-----------+----------+----------+
|     time_of_day     | trip_count  | avg_fare  | avg_tip  | tip_pct  |
+---------------------+-------------+-----------+----------+----------+
| 212121212120212121  | 1           | 3.0       | 1.75     | 58.33    |
| 232222211919181823  | 1           | 4.4       | 2.18     | 49.55    |
| 2020C_Evening_18to  | 1           | 20.5      | 10.0     | 48.78    |
| 181818181818201818  | 1           | 5.1       | 2.32     | 45.49    |
| Evening_18to22C_Ev  | 16965       | 23.88     | 4.47     | 41.97    |
| 191918222120201918  | 1           | 10.7      | 4.49     | 41.96    |
| 21212121212121C_Ev  | 1           | 11.4      | 4.65     | 40.79    |
| 040403040404040404  | 1           | 13.5      | 5.48     | 40.59    |
| 020200201919181818  | 1           | 6.5       | 2.6      | 40.0     |
| to22D_Night_23to05  | 2           | 7.9       | 2.96     | 38.46    |
| 181919191918181818  | 1           | 7.9       | 3.03     | 38.35    |
| 232222222121212020  | 1           | 9.3       | 3.51     | 37.74    |
| 19181818181818C_Ev  | 1           | 26.8      | 10.0     | 37.31    |
| 191919181819191919  | 2           | 6.85      | 2.5      | 37.22    |
| 181818201818181818  | 1           | 11.4      | 4.23     | 37.11    |
| 212121212121212120  | 1           | 8.6       | 3.17     | 36.86    |
| 191920191919191919  | 1           | 8.6       | 3.17     | 36.86    |
| 181818181918C_Even  | 1           | 5.8       | 2.11     | 36.38    |
| 0000000000000000D_  | 1           | 14.9      | 5.35     | 35.91    |
| ening_18to2212to17  | 1           | 24.7      | 8.84     | 35.79    |
| 222019192221211918  | 1           | 9.3       | 3.31     | 35.59    |
| 0505D_Night_23to05  | 2           | 16.3      | 5.75     | 35.44    |
| 21C_Evening_18to22  | 2           | 11.4      | 3.8      | 35.34    |
| 05Afternoon_12to17  | 2           | 42.55     | 11.06    | 34.8     |
| 190022212121212020  | 1           | 6.5       | 2.25     | 34.62    |
| 212121212121212021  | 3           | 28.37     | 7.75     | 34.42    |
| 23232323232323D_Ni  | 1           | 12.8      | 4.39     | 34.3     |
| 00D_Night_23to0517  | 3           | 10.93     | 3.71     | 34.11    |
| 000000002323232323  | 1           | 9.3       | 3.15     | 33.87    |
| 0018D_Night_23to05  | 1           | 5.8       | 1.96     | 33.79    |
| 1820191918C_Evenin  | 1           | 10.7      | 3.59     | 33.55    |
| 181818181819191918  | 1           | 21.2      | 7.11     | 33.54    |
| 181818181818181818  | 39052       | 21.85     | 4.3      | 33.37    |
| 232220201823222120  | 1           | 11.4      | 3.73     | 32.72    |
| Night_23to05C_Even  | 3           | 9.3       | 3.05     | 32.7     |
| 012323232222222121  | 1           | 10.7      | 3.44     | 32.15    |
| to05ternoon_12to17  | 2           | 12.45     | 4.04     | 32.03    |
| 000000000000002300  | 1           | 7.9       | 2.53     | 32.03    |
| 201918182120201919  | 1           | 7.9       | 2.53     | 32.03    |
| 181920192220191822  | 1           | 12.1      | 3.87     | 31.98    |
| 192019191919191919  | 1           | 12.1      | 3.87     | 31.98    |
| ing_18to22D_Night_  | 2           | 16.65     | 4.6      | 31.87    |
| 191919191918191919  | 4           | 11.4      | 3.41     | 31.6     |
| 181919191919191919  | 3           | 8.83      | 2.78     | 31.54    |
| 04D_Night_23to0517  | 4           | 22.03     | 4.12     | 31.39    |
| 010100002323222221  | 1           | 7.2       | 2.24     | 31.11    |
| 000023232220201901  | 1           | 7.2       | 2.24     | 31.11    |
| to05C_Evening_18to  | 2           | 10.7      | 3.34     | 31.1     |
| 222221212121212121  | 1           | 19.8      | 6.15     | 31.06    |
| 232323232323232322  | 2           | 12.8      | 3.92     | 31.06    |
| 22D_Night_23to0517  | 1           | 8.6       | 2.67     | 31.05    |
| 212121C_Evening_18  | 1           | 13.5      | 4.15     | 30.74    |
| t_23to05C_Evening_  | 1           | 13.5      | 4.15     | 30.74    |
| 010101010101010202  | 1           | 21.9      | 6.66     | 30.41    |
| 181818191818C_Even  | 1           | 9.3       | 2.81     | 30.22    |
| 191919181919191919  | 4           | 10.88     | 2.77     | 30.0     |
| 03D_Night_23to05D_  | 1           | 8.6       | 2.52     | 29.3     |
| 181818181918181818  | 23          | 19.06     | 5.23     | 29.25    |
| 181818181818181918  | 23          | 17.23     | 4.41     | 29.0     |
| 191919191819191819  | 1           | 16.3      | 4.71     | 28.9     |
| 191919191919191918  | 9           | 12.96     | 3.15     | 28.76    |
| 1918C_Evening_18to  | 1           | 17.0      | 4.85     | 28.53    |
| 0202020202D_Night_  | 1           | 11.4      | 3.25     | 28.51    |
| 05D_Night_23to05C_  | 3           | 10.23     | 3.02     | 28.45    |
| 212020191919180201  | 1           | 34.5      | 9.81     | 28.43    |
| 212018040303030202  | 1           | 15.6      | 4.42     | 28.33    |
| 010101010023230101  | 1           | 40.1      | 11.36    | 28.33    |
| 0404D_Night_23to05  | 1           | 11.4      | 3.23     | 28.33    |
| 191919191919C_Even  | 1           | 35.9      | 10.16    | 28.3     |
| 19191919C_Evening_  | 1           | 35.2      | 9.95     | 28.27    |
| 212121202121212121  | 1           | 17.7      | 4.99     | 28.19    |
| 181818181819181818  | 29          | 19.6      | 4.87     | 28.04    |
| 191818181818181818  | 30          | 22.61     | 5.51     | 28.01    |
| 222323232323232323  | 1           | 10.0      | 2.8      | 28.0     |
| D_Night_23to05      | 3381555     | 20.51     | 4.33     | 27.9     |
| 191919191818191919  | 1           | 12.1      | 3.37     | 27.85    |
| 191818222220191923  | 1           | 7.2       | 2.0      | 27.78    |
| 050505050505050505  | 4           | 24.0      | 2.99     | 27.75    |
