+------------------+-------------+-----------+----------+
| passenger_count  | trip_count  | avg_fare  | avg_tip  |
+------------------+-------------+-----------+----------+
| 1                | 29413382    | 18.36     | 3.55     |
| NULL             | 11611894    | 16.79     | 0.33     |
| 2                | 5126619     | 21.1      | 4.03     |
| 3                | 1207185     | 20.92     | 3.78     |
| 4                | 829535      | 24.0      | 3.98     |
| 0                | 260062      | 16.89     | 3.17     |
| 5                | 173454      | 17.56     | 3.46     |
| 6                | 100296      | 17.98     | 3.54     |
| 8                | 87          | 82.05     | 12.2     |
| 9                | 34          | 77.42     | 8.39     |
| 7                | 25          | 69.38     | 9.25     |
+------------------+-------------+-----------+----------+
