+--------------+-------------+--------------+----------+----------------+
| hour_of_day  | trip_count  | avg_revenue  | avg_tip  | total_revenue  |
+--------------+-------------+--------------+----------+----------------+
| 0            | 1540191     | 26.61        | 2.41     | 4.098897478E7  |
| 1            | 1015732     | 24.65        | 2.11     | 2.503300219E7  |
| 2            | 668371      | 23.2         | 1.87     | 1.550856306E7  |
| 3            | 457073      | 23.65        | 1.8      | 1.080809243E7  |
| 4            | 360923      | 28.35        | 2.05     | 1.023383575E7  |
| 5            | 385453      | 31.26        | 2.44     | 1.204985644E7  |
| 6            | 758797      | 27.82        | 2.23     | 2.111023854E7  |
| 7            | 1383178     | 26.13        | 2.38     | 3.613884231E7  |
| 8            | 1869221     | 25.47        | 2.45     | 4.760860196E7  |
| 9            | 1998754     | 25.49        | 2.7      | 5.094146793E7  |
| 10           | 2083263     | 25.92        | 2.88     | 5.400028607E7  |
| 11           | 2234450     | 26.27        | 2.96     | 5.869342362E7  |
| 12           | 2435175     | 26.98        | 3.0      | 6.570928423E7  |
| 13           | 2553786     | 27.16        | 3.08     | 6.935486312E7  |
| 14           | 2740930     | 28.3         | 3.21     | 7.757655745E7  |
| 15           | 2854120     | 28.13        | 3.18     | 8.029179197E7  |
| 16           | 2934914     | 29.76        | 3.36     | 8.73403681E7   |
| 17           | 3291155     | 28.22        | 3.11     | 9.288337408E7  |
| 18           | 3473209     | 26.66        | 2.89     | 9.259769378E7  |
| 19           | 3071607     | 26.49        | 2.88     | 8.137891538E7  |
| 20           | 2826124     | 26.07        | 2.86     | 7.367120797E7  |
| 21           | 2901039     | 26.2         | 2.84     | 7.60013745E7   |
| 22           | 2730170     | 26.61        | 2.72     | 7.265999273E7  |
| 23           | 2154938     | 27.14        | 2.57     | 5.848515375E7  |
+--------------+-------------+--------------+----------+----------------+
