+-----------------------+-------------+---------------+-----------+------------+----------+
|       trip_type       | trip_count  | avg_distance  | avg_fare  | avg_total  | avg_tip  |
+-----------------------+-------------+---------------+-----------+------------+----------+
| 4_Nassau_Westchester  | 116228      | 26.34         | 99.7      | 122.2      | 12.28    |
| 6_Group_ride          | 51          | 0.81          | 110.97    | 113.15     | 0.14     |
| 2_JFK_Airport         | 1297932     | 17.1          | 64.89     | 87.33      | 11.25    |
| 3_Newark_Airport      | 150692      | 12.79         | 60.76     | 83.65      | 10.0     |
| 5_Negotiated          | 448421      | 6.44          | 64.11     | 78.63      | 8.99     |
| 7_Other               | 804397      | 13.54         | 34.57     | 36.33      | 0.0      |
| 1_Standard            | 34292958    | 2.62          | 15.78     | 24.68      | 3.3      |
| 7_Other               | 11611894    | 17.46         | 16.79     | 22.39      | 0.33     |
+-----------------------+-------------+---------------+-----------+------------+----------+
